"#","Reference","Qty","Value","Footprint","DNP"
"1","AE1","1","Antenna","",""
"2","C1","1","100nF","",""
"3","C2","1","4.7uF_16V","",""
"4","D1, D2, D4, D5","4","LED","",""
"5","D3","1","MBR0520LT","Diode_SMD:D_SOD-123",""
"6","J1","1","JAE_SIM_Card_SF72S006","Connector_JAE:JAE_SIM_Card_SF72S006",""
"7","J2","1","USB_C_Receptacle","",""
"8","R1, R2","2","R","",""
"9","R3, R4","2","5.1K","",""
"10","SW1","1","SW_Push","",""
"11","U1","1","SIM800C","RF_GSM:SIMCom_SIM800C",""
"12","U2","1","LP3947","Package_SON:WSON-14-1EP_4.0x4.0mm_P0.5mm_EP2.6x2.6mm",""
"13","U3","1","ATmega32L-8P","Package_DIP:DIP-40_W15.24mm",""
"14","U5","1","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm",""
